headline,date,doc_type,material_type,section,keywords
What Should Happen to the Navy SEAL Chief?,2019-11-25,article,News,,"['United States Defense and Military Forces', 'War Crimes, Genocide and Crimes Against Humanity']"
Frank Biondi Dies at 74; Headed Major Entertainment Companies,2019-11-27,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Appointments and Executive Changes', 'Mergers, Acquisitions and Divestitures', 'Television', 'Movies']"
Tesla’s ‘Cybertruck’,2019-11-27,article,News,,[]
"‘The Cartiers: The Untold Story Behind the Jewelry Empire,’ by Francesca Cartier Brickell: An Excerpt",2019-11-26,article,Review,,[]
How to Gracefully Leverage an Outside Job Offer,2019-11-27,article,News,,"['Hiring and Promotion', 'Wages and Salaries', 'Careers and Professions']"
The Best Movies to Watch on Thanksgiving,2019-11-27,article,News,,"['Thanksgiving Day', 'Movies']"
"Duke, the Nation’s No. 1 Team, Loses to Unranked Stephen F. Austin",2019-11-27,article,List,,['Basketball (College)']
Why Trump Still Believes (Wrongly) That Ukraine Hacked the D.N.C.,2019-11-26,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Impeachment']"
Eating After You Exercise May Provide Added Fat-Burning Benefits,2019-11-27,article,News,,"['Exercise', 'Diabetes', 'Fasting', 'Muscles', 'Insulin', 'Weight']"
‘A Bright Room Called Day’ Review: The Playwright Enters the Play,2019-11-26,article,Review,,['Theater']
"We Try to Avoid Superlatives, but Our Readers Really Are the Best",2019-11-27,article,News,,"['Homeless Persons', 'News and News Media']"
"We Are Family: 50-Plus Times Articles, Photos, Maps and More About Families of All Kinds",2019-11-26,article,News,,[]
"John Adams on Boulez, a Composer Worth Wrestling With",2019-11-26,article,News,,['Classical Music']
Modern Love Podcast: Alicia Keys Reads ‘Who’s Allowed to Hold Hands?’,2019-11-27,article,News,,"['Love (Emotion)', 'Podcasts']"
Death of Colombian Teenager Drives Protesters Back to Streets,2019-11-27,article,News,,"['Demonstrations, Protests and Riots', 'Politics and Government', 'Strikes']"
Why the Big Balloons Might Not Fly at the Macy’s Thanksgiving Parade,2019-11-26,article,News,,"['Thanksgiving Day', 'Parades', 'Balloons', 'Wind']"
"Koalas Aren’t Extinct, but Their Future Is in Danger, Experts Say",2019-11-25,article,News,,"['Koalas', 'Endangered and Extinct Species', 'Fires and Firefighters', 'Social Media', 'Conservation of Resources', 'Biodiversity']"
"The Wrong Turkey Was Pardoned at the White House, Jimmy Kimmel Says",2019-11-27,article,News,,[]
Trump Knew of Whistle-Blower Complaint When He Released Aid to Ukraine,2019-11-26,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Ethics and Official Misconduct', 'United States Politics and Government', 'Presidential Election of 2020', 'Whistle-Blowers']"
We Led the Navy. Trump Does Not Share the Military’s Values.,2019-11-26,article,Op-Ed,,"['United States Defense and Military Forces', 'United States Politics and Government']"
This Is What It Looks Like When an Asteroid Gets Destroyed,2019-11-26,article,News,,"['Asteroids', 'Telescopes and Observatories', 'Research', 'Solar System']"
Kristin Scott Thomas on Playing a Different Kind of Part,2019-11-25,article,News,,"['Women and Girls', 'ACTORS AND ACTRESSES', 'Discrimination', 'Sexual Harassment', 'Movies', '#MeToo Movement']"
What We Learned in N.F.L. Week 12,2019-11-25,article,News,,['Football']
‘Watchmen’ Pulls the Hood on Hooded Justice,2019-11-25,article,News,,"['Comic Books and Strips', 'Television']"
Trump Gives U.S. Business the Ukraine Treatment,2019-11-25,article,Op-Ed,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Customs (Tariff)']"
What the Marvelous Mrs. Maisel Wears Offscreen,2019-11-27,article,News,,"['Cosmetics and Toiletries', 'Skin', 'Hair']"
"Trump’s Tax Truce With France Expires, but the Path Ahead Remains Unclear",2019-11-26,article,News,,"['Corporate Taxes', 'United States Politics and Government', 'International Trade and World Market', 'Customs (Tariff)']"
‘Serial’ Podcast Case Is Declined by Supreme Court,2019-11-25,article,News,,"['Murders, Attempted Murders and Homicides']"
"Albania, Russia, Thanksgiving: Your Wednesday Briefing",2019-11-27,article,briefing,,[]
"‘Parasite’ Has Shocked the Box Office, Helped by an Upstart Studio",2019-11-27,article,News,,['Movies']
Liberals Do Not Want to Destroy the Family,2019-11-27,article,Op-Ed,,"['Liberalism (US Politics)', 'Social Conditions and Trends', 'United States Politics and Government']"
"Ready, Set, Ski! In China, Snow Sports Are the Next Big Thing",2019-11-27,article,News,,"['Skiing', 'Travel and Vacations', 'Olympic Games (2022)']"
Fighting Racism in Schools,2019-11-27,article,Letter,,"['Discrimination', 'Teachers and School Employees', 'Child Labor']"
What's on TV Wednesday: ‘The Irishman’ and ‘Julie & Julia’,2019-11-27,article,News,,"['Television', 'Movies']"
A Montreal Bagel War Unites Rival Kings,2019-11-26,article,News,,"['Bagels', 'Ovens and Stoves', 'AIR POLLUTION']"
"Corrections: Nov. 27, 2019",2019-11-27,article,Correction,,[]
"At First 2020 Campaign Stop, Bloomberg Boasts What His Money Can Do",2019-11-25,article,News,,['Presidential Election of 2020']
Helicopter Crash in Mali Kills 13 French Troops,2019-11-26,article,News,,"['Aviation Accidents, Safety and Disasters', 'Helicopters', 'Defense and Military Forces']"
"Cargo Ship With Almost 15,000 Sheep Overturns Near Romania",2019-11-25,article,News,,"['Maritime Accidents and Safety', 'Livestock', 'Sheep', 'Ships and Shipping', 'Animal Abuse, Rights and Welfare']"
"In ‘Labyrinth,’ a Musician With Amnesia Loses Life’s Rhythm",2019-11-25,article,Review,,['Books and Literature']
Adam Sandler’s Everlasting Shtick,2019-11-27,article,News,,"['Comedy and Humor', 'Movies', 'ACTORS AND ACTRESSES']"
How the 2020 Democrats Responded to an Abortion Survey,2019-11-25,article,News,,"['Presidential Election of 2020', 'ABORTION']"
"Clive James, a Tireless Polymath Who Led With His Wit",2019-11-27,article,An Appraisal,,"['Books and Literature', 'Writing and Writers']"
How Jell-O Molds Claimed Their Spot on the American Table,2019-11-25,article,News,,"['Cooking and Cookbooks', 'Gelatin', 'Jams and Jellies', 'Thanksgiving Day', 'Desserts', 'Salads']"
Station Wagons on Endangered List as S.U.V.s Crush All in Their Path,2019-11-26,article,News,,"['Sports Utility Vehicles and Light Trucks', 'Automobiles']"
How Trump Survives,2019-11-26,article,Op-Ed,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Economic Conditions and Trends', 'Presidential Election of 2020', 'United States Economy', 'Impeachment']"
Clive James Dies at 80; Literary Critic Took His Wit to TV,2019-11-27,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Poetry and Poets', 'Writing and Writers', 'Television']"
"‘63 Up’ Review: Time Keeps on Slippin’, Slippin’, Slippin’",2019-11-26,article,Review,,['Documentary Films and Programs']
Holiday Fashion: Who’s That Girl?,2019-11-26,article,News,,"['Fashion and Apparel', 'Suits (Apparel)']"
Problems Pile Up for Boeing as 737 Max Delays Continue,2019-11-27,article,News,,"['Boeing 737 Max Groundings and Safety Concerns (2019)', 'AIRLINES AND AIRPLANES', 'Aviation Accidents, Safety and Disasters', 'Regulation and Deregulation of Industry']"
They Love Football. They Try Not to Think About C.T.E.,2019-11-26,article,News,,"['Football (College)', 'Sports Injuries', 'Chronic Traumatic Encephalopathy', 'Concussions']"
Conservative Hypocrisy Makes Its Case at the Supreme Court,2019-11-26,article,Op-Ed,,"['Gun Control', 'Constitution (US)', 'Deferred Action for Childhood Arrivals', 'Conservatism (US Politics)', 'Illegal Immigration', 'Federal-State Relations (US)', 'Religion-State Relations']"
Trump Praises Military Dog Conan Amid Fight With Navy,2019-11-25,article,News,,"['United States Defense and Military Forces', 'Dogs']"
"3 Afghan Schools, 165 Accounts of Students Being Raped",2019-11-25,article,News,,"['Sex Crimes', 'Child Abuse and Neglect', 'Education (K-12)', 'Men and Boys']"
"For Millennials Making Their Way, a Detour: To Caregiving",2019-11-27,article,News,,"['Elder Care', 'Millennial Generation', 'Families and Family Life', 'Retirement', 'Baby Boomers', 'Home Health Care']"
"New & Noteworthy, From Mo Rocca to George Wallace",2019-11-26,article,News,,['Books and Literature']
How to Teach a Child Braille,2019-11-26,article,News,,"['Braille', 'Blindness']"
What a Witch Hunt Really Looks Like,2019-11-27,article,Op-Ed,,"['Witchcraft', 'United States Politics and Government']"
Black Voters to Black Candidates: Representation Is Not Enough,2019-11-25,article,News,,"['Presidential Election of 2020', 'Race and Ethnicity', 'Blacks', 'Black People']"
Love Over Labels,2019-11-27,article,News,,"['Dating and Relationships', 'Marriages']"
Steelers Will Start Devlin Hodges Over Mason Rudolph,2019-11-26,article,News,,['Football']
When Department Stores Were Theater,2019-11-27,article,News,,"['Shopping and Retail', 'Windows']"
Putting the Pieces into Place,2019-11-27,article,News,,['Crossword Puzzles']
Will Bloomberg’s Mayoral Record Hurt His Presidential Run?,2019-11-26,article,briefing,,"['Presidential Election of 2020', 'Search and Seizure']"
Serve a Full Thanksgiving Meal on an L Train? Just Watch Them,2019-11-26,article,News,,"['Thanksgiving Day', 'Turkeys', 'Subways', 'Social Media']"
"More Prince, More Pleasure: The Joys of the Expanded ‘1999’",2019-11-27,article,Review,,['Pop and Rock Music']
Jeffrey Epstein’s Charity: An Image Boost Built on Deception,2019-11-26,article,News,,"['Philanthropy', 'Federal Taxes (US)', 'Sex Crimes', 'Child Abuse and Neglect', 'Tax Credits, Deductions and Exemptions']"
We Can Do This,2019-11-27,article,Op-Ed,,"['Greenhouse Gas Emissions', 'United States Politics and Government', 'United States Economy', 'Electric Light and Power', 'Global Warming', 'Alternative and Renewable Energy', 'States (US)']"
"‘I Think This Guy Is, Like, Passed Out in His Tesla’",2019-11-27,article,News,,"['Driverless and Semiautonomous Vehicles', 'Traffic Accidents and Safety', 'Automobile Safety Features and Defects', 'Roads and Traffic']"
Seedless Lemons Make Squeezing a Breeze,2019-11-26,article,News,,['Lemons']
Make Room at the Table for Difficult People,2019-11-27,article,Op-Ed,,"['Families and Family Life', 'Thanksgiving Day', 'Autism']"
A Long-Lost Black Cemetery in Tampa May Have Been Found,2019-11-27,article,News,,"['Cemeteries', 'Blacks', 'Black People', 'Historic Buildings and Sites']"
Mulvaney Asked About Legal Justification for Withholding Ukraine Aid,2019-11-25,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Foreign Aid', 'Impeachment']"
Achieving Transcendence on the Millionth ‘Frozen’ Viewing,2019-11-27,article,News,,"['Movies', 'Children and Childhood']"
"‘Tiny Love: The Complete Stories,’ by Larry Brown: An Excerpt",2019-11-26,article,Review,,[]
Iraq Protesters Burn Down Iran Consulate in Night of Anger,2019-11-27,article,News,,"['Diplomatic Service, Embassies and Consulates', 'Demonstrations, Protests and Riots', 'Fires and Firefighters']"
Taylor Swift and Four More American Music Awards Moments,2019-11-25,article,News,,"['Pop and Rock Music', 'Rap and Hip-Hop', 'AMERICAN MUSIC AWARDS']"
Mexican Leader Draws Line on Trump Terrorist Plan: ‘Interventionism: No’,2019-11-27,article,News,,"['Mormon Family Massacre (Mexico, 2019)', 'United States International Relations', 'Drug Abuse and Traffic']"
Fresh-Food Vending Machines Will Be Graded Like Restaurants,2019-11-26,article,News,,"['Vending Machines', 'Restaurants', 'Regulation and Deregulation of Industry', 'Food Contamination and Poisoning', 'Start-ups', 'Hygiene and Cleanliness']"
Southern Scamps and Scoundrels in the Fiction of Larry Brown,2019-11-26,article,Review,,['Books and Literature']
Tomi Adeyemi Hates Assigned Reading,2019-11-27,article,News,,"['Books and Literature', 'Writing and Writers']"
Pete Hamill ‘Ain’t Done Yet’,2019-11-26,article,News,,['Writing and Writers']
Pass Interference or Not? No One in the N.F.L. Seems to Know,2019-11-26,article,News,,"['Football', 'Officiating (Sports)', 'Instant Replay (Sports)']"
Did New Hampshire Fall Out of Love With Bernie Sanders?,2019-11-25,article,News,,"['Presidential Election of 2020', 'Organized Labor', 'Endorsements', 'Primaries and Caucuses']"
"George Clements, Priest and Activist, Is Dead at 87",2019-11-27,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Priests', 'Blacks', 'Black People', 'ADOPTIONS', 'Civil Rights Movement (1954-68)']"
Democrats’ Plan Will Suppress Third Parties in New York,2019-11-25,article,News,,"['Politics and Government', 'Third-Party Politics (US)', 'Campaign Finance', 'State Legislatures']"
The Best Wine Books Are Not Always About Wine,2019-11-27,article,News,,"['Books and Literature', 'Wines']"
Meet the Leftish Economist With a New Story About Capitalism,2019-11-26,article,News,,"['Economics (Theory and Philosophy)', 'Innovation', 'Capitalism (Theory and Philosophy)', 'Politics and Government']"
You Don’t Have to Be a Minimalist to Share a Studio,2019-11-25,article,News,,"['Renting and Leasing (Real Estate)', 'Real Estate and Housing (Residential)']"
"America Is Living Through Trump’s ‘Hypocalypse,’ Jimmy Kimmel Says",2019-11-26,article,News,,[]
Thousands Evacuated in Texas After Explosion at Port Neches Chemical Plant,2019-11-27,article,News,,"['Explosions (Accidental)', 'Factories and Manufacturing', 'Chemicals']"
"The Portola, San Francisco: Low-Slung Houses and Rising Prices",2019-11-26,article,News,,"['Real Estate and Housing (Residential)', 'Gardens and Gardening']"
Sweden Investigates Iraq Defense Chief for War Crimes and Fraud,2019-11-26,article,News,,"['Defense and Military Forces', 'War Crimes, Genocide and Crimes Against Humanity', 'Demonstrations, Protests and Riots', 'Frauds and Swindling']"
These Prosecutors Promised Change. Their Power Is Being Stripped Away.,2019-11-25,article,News,,"['False Arrests, Convictions and Imprisonments', 'Prosecutorial Misconduct', 'Attorneys General', 'District Attorneys', 'Criminal Justice']"
A Few Words of Thanksgiving Advice,2019-11-27,article,News,,"['Cooking and Cookbooks', 'Thanksgiving Day']"
"Like the Milkman, This Distiller Refills the Empties",2019-11-25,article,News,,"['Vodka', 'Recycling of Waste Materials']"
University Reverses Its Decision to Stop Accepting Medicaid,2019-11-26,article,News,,"['Medicaid', 'Health Insurance and Managed Care', 'Colleges and Universities']"
"Impeachment, Tiffany, Russian Doping: Your Monday Evening Briefing",2019-11-25,article,briefing,,[]
A Look at the Lives of Two Homeless Children,2019-11-27,article,Letter,,"['Homeless Persons', 'Affordable Housing']"
"Corrections: Nov. 26, 2019",2019-11-26,article,Correction,,[]
They See You When You’re Shopping,2019-11-26,article,News,,"['E-Commerce', 'Shopping and Retail', 'Customer Relations', 'Data-Mining and Database Marketing', 'Privacy', 'Luxury Goods and Services', 'your-feed-fashion']"
"Two Centuries Later, a Composer Gets a Second Look",2019-11-27,article,News,,['Opera']
Review: A ‘Crucible’ for the Modern Mob,2019-11-25,article,Review,,['Theater']
9 Great Bedtime Books for Preschoolers,2019-11-27,article,Review,,"['Children and Childhood', 'Books and Literature']"
‘The Two Popes’ Review: Double Act at the Vatican,2019-11-26,article,Review,,['Movies']
Why Fifth Avenue Is Amping Up Its Holiday Windows,2019-11-26,article,News,,"['Shopping and Retail', 'Windows', 'Black Friday and Cyber Monday (Shopping)', 'Christmas']"
"The Costly, Life-Disrupting Consequences of Poor Diabetes Care",2019-11-25,article,News,,"['Diabetes', 'Health Insurance and Managed Care', 'Cholesterol', 'Blood Pressure', 'Sugar', 'Diet and Nutrition', 'Kidneys', 'Insulin', 'Weight']"
"‘A Warning,’ by Anonymous, Cracks the Best-Seller List",2019-11-27,article,List,,"['Books and Literature', 'United States Politics and Government']"
The True Story of ‘The Irishman’: I Heard You Paint Tangled Tales,2019-11-27,article,News,,"['Movies', 'Organized Crime', 'Organized Labor']"
Supreme Court Temporarily Blocks Disclosure of Trump’s Financial Records,2019-11-25,article,News,,"['Trump Tax Returns', 'United States Politics and Government']"
"On Abortion Rights, 2020 Democrats Move Past ‘Safe, Legal and Rare’",2019-11-25,article,News,,"['Presidential Election of 2020', 'ABORTION', 'Roe v Wade (Supreme Court Decision)']"
New York Galleries: What to See Right Now,2019-11-27,article,News,,['Art']
"In This ‘Wolf of Wall Street,’ You’re Part of the Debauchery",2019-11-25,article,News,,['Theater']
‘Our Story Is One of Resilience’,2019-11-26,article,News,,[]
The U.S. and South Korea: Ways to Bolster an Alliance,2019-11-26,article,Letter,,"['United States International Relations', 'Gun Control', 'Parking', 'Grief (Emotion)', 'Holidays and Special Occasions']"
7 Great Books for (and About) Babies,2019-11-27,article,News,,"['Books and Literature', 'Babies and Infants', 'Reading and Writing Skills (Education)', 'Parenting', 'Children and Childhood']"
‘Make’ the Biscuits From the Grey in Savannah,2019-11-25,article,News,,"['Restaurants', 'Mail Order Companies', 'Bakeries and Baked Products']"
This Was Hong Kong’s Most Important Election Ever,2019-11-25,article,Op-Ed,,"['Elections', 'Politics and Government', 'Voting and Voters', 'Hong Kong Protests (2019)', 'Police Brutality, Misconduct and Shootings', 'Appointments and Executive Changes']"
Thanksgiving Weather: Travel Issues Are Likely to Continue Through Holiday,2019-11-27,article,News,,"['Weather', 'Snow and Snowstorms', 'Travel and Vacations', 'Thanksgiving Day']"
Turn Off Your Phone for Thanksgiving,2019-11-25,article,Op-Ed,,"['Computers and the Internet', 'Wireless Communications', 'Thanksgiving Day', 'Cellular Telephones', 'Social Conditions and Trends']"
Company Behind ‘Fearless Girl’ Statue Goes to Court Over Replicas,2019-11-25,article,News,,"['Women and Girls', ""Women's Rights"", 'Art', 'ADVERTISING AND MARKETING']"
"Don’t Get Mad, but ‘Hangry’ Isn’t Really Angry",2019-11-27,article,News,,"['Psychology and Psychologists', 'Emotions', 'Food', 'Research', 'your-feed-health', 'your-feed-science']"
Spain Beats Canada to Win Davis Cup at Home,2019-11-25,article,News,,"['Tennis', 'Davis Cup']"
Surprise Players Emerge Early in College Basketball,2019-11-25,article,News,,"['Basketball (College)', 'NCAA Basketball Championships (Men)']"
Niners’ Dominance Is Creating Lore for a New Era,2019-11-25,article,News,,"['Football', 'Stadiums and Arenas']"
Streamlining Hotel Housekeeping in a Tight Labor Market,2019-11-26,article,News,,"['Building Service Employees', 'Travel and Vacations', 'Hotels and Travel Lodgings', 'Mobile Applications', 'Organized Labor', 'United States Economy']"
How Six Different Cooks Set Striking Thanksgiving Tables,2019-11-25,article,News,,"['Cooking and Cookbooks', 'Thanksgiving Day', 'Tableware']"
"Ski Homes Scale Down, in Size and in Cost",2019-11-26,article,News,,"['Skiing', 'Travel and Vacations', 'Real Estate and Housing (Residential)', 'Second Homes and Non-Primary Residences']"
"The Snowiest Mountains: Where to Ski, and When",2019-11-27,article,News,,"['Skiing', 'Snow and Snowstorms', 'Travel and Vacations', 'ALPINE SKIING', 'Mountains']"
"After a Treacherous Trip From Honduras, Aiming for an Education",2019-11-25,article,News,,[]
Judge John Hodgman on Office Baking Contests,2019-11-27,article,News,,"['Contests and Prizes', 'Comedy and Humor']"
She’s Mrs. Rogers. But Joanne Rogers Has ‘Always Been Her Own Person.’,2019-11-27,article,News,,"['Movies', 'Television']"
Son of Deputy from Neighboring County Accused of Killing Sheriff,2019-11-26,article,News,,"['Police', 'Murders, Attempted Murders and Homicides']"
Should Texting While Driving Be Treated Like Drunken Driving?,2019-11-25,article,News,,[]
"$350,000 Homes in Kentucky, Florida and Michigan",2019-11-27,article,News,,['Real Estate and Housing (Residential)']
TikTok Blocks Teen Who Posted About China’s Detention Camps,2019-11-26,article,News,,"['Social Media', 'Censorship', 'Uighurs (Chinese Ethnic Group)', 'Political Prisoners', 'Muslims and Islam']"
Why Does Rage Define ‘Parasite’ and Other Popular East Asian Movies?,2019-11-25,article,News,,"['Movies', 'Confucianism', 'Violence (Media and Entertainment)']"
7 Great Fantasy Novels for Teenagers,2019-11-27,article,News,,"['Books and Literature', 'Teenagers and Adolescence']"
Lesson of the Day: ‘Climate Change Protesters Disrupt Yale-Harvard Football Game’,2019-11-26,article,News,,[]
9 Books to Watch For in December,2019-11-27,article,News,,['Books and Literature']
Democrats Increasingly Vocal in Calling ‘Medicare for All’ a Political Liability,2019-11-26,article,News,,"['Presidential Election of 2020', 'Health Insurance and Managed Care', 'Medicare']"
Resourceful Raccoon,2019-11-26,article,News,,[]
Streets Where Cars Aren’t Welcome,2019-11-25,article,briefing,,"['Pedestrian Malls', 'Automobiles', 'Buses', 'Roads and Traffic', 'Real Estate (Commercial)']"
How Stalagmites Get Their Shapes,2019-11-27,article,News,,"['Caves and Caverns', 'Physics', 'Water', 'Geology', 'Research', 'your-feed-science']"
Charles Schwab to Buy TD Ameritrade as Free Trading Takes Over,2019-11-25,article,News,,"['Mergers, Acquisitions and Divestitures', 'Stocks and Bonds']"
New Zealand Is Tackling Hot-Button Liberal Issues in One Swoop,2019-11-26,article,News,,"['Referendums', 'Euthanasia and Assisted Suicide', 'ABORTION', 'Marijuana', 'Politics and Government', 'Elections', 'Polls and Public Opinion', 'Legislatures and Parliaments']"
"‘Watchmen’ Season 1, Episode 6 Recap: Nostalgia",2019-11-25,article,Review,,['Television']
Does Who You Are at 7 Determine Who You Are at 63?,2019-11-27,article,News,,"['Children and Childhood', 'Television', 'Documentary Films and Programs']"
She Wants to Row to Get From N.Y.C. Into College,2019-11-25,article,News,,"['Rowing', 'Colleges and Universities', 'Education (Secondary)', 'Women and Girls', 'Race and Ethnicity', 'Urban Areas', 'Organizations, Societies and Clubs', 'ADMISSIONS STANDARDS']"
Who’s More Qualified to Write About Death Than a Funeral Director Poet?,2019-11-26,article,Review,,"['Books and Literature', 'Poetry and Poets']"
Ceilings in London Theaters Keep Falling Down,2019-11-26,article,News,,"['Theater', 'Theaters (Buildings)']"
8 Great (and Short) Books for Brand-New Readers,2019-11-27,article,News,,"['Books and Literature', 'Children and Childhood', 'Reading and Writing Skills (Education)']"
Dresden Museum Partly Reopens After Jewelry Heist,2019-11-27,article,News,,"['Diamonds', 'Robberies and Thefts', 'Museums', 'Jewels and Jewelry', 'Arts and Antiquities Looting']"
33 Ways to Remember the 2010s,2019-11-25,multimedia,Interactive Feature,,"['Two Thousand Tens (Decade)', 'Movies', 'Dancing', 'Music', 'Television', 'Computer and Video Games', 'Art', 'Social Media', 'Theater', '#MeToo Movement', 'Academy Awards (Oscars)']"
"India’s Ominous Future: Too Little Water, or Far Too Much",2019-11-25,multimedia,Interactive Feature,,"['Water', 'Monsoons', 'Global Warming', 'Environment']"
Your Angry Uncle Wants to Talk About Politics. What Do You Do?,2019-11-26,multimedia,Interactive Feature,,"['Thanksgiving Day', 'Holidays and Special Occasions', 'Christmas', 'Families and Family Life', 'Debates (Political)']"
Holiday Books,2019-11-26,multimedia,Interactive Feature,,"['Books and Literature', 'Cooking and Cookbooks', 'Athletics and Sports', 'Gardens and Gardening', 'Music', 'Travel and Vacations', 'Photography', 'Holidays and Special Occasions']"
Holiday Books,2019-11-26,multimedia,Interactive Feature,,"['Books and Literature', 'Holidays and Special Occasions', 'Cooking and Cookbooks', 'Athletics and Sports', 'Gardens and Gardening', 'Music', 'Travel and Vacations', 'Photography']"
Thanksgiving Quiz: Holidays Can Test Us. Will You Pass?,2019-11-27,multimedia,Interactive Feature,,"['Thanksgiving Day', 'Turkeys']"
"Sports From South Korea to Washington, D.C.",2019-11-26,multimedia,Interactive Feature,,['Books and Literature']
From High-End Fashion to Late-Night Voyeurism: The Year in Photography Books,2019-11-26,multimedia,Interactive Feature,,"['Books and Literature', 'Models (Professional)', 'Magazines', 'Photography']"
Hong Kong Election Results Mapped,2019-11-25,multimedia,Interactive Feature,,"['Hong Kong Protests (2019)', 'Elections']"
Read Philip Reeker’s Closed-Door Deposition,2019-11-26,multimedia,Interactive Feature,,"['Impeachment', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']"
"The Cloud Appreciation Society, and Other Groups You Should Join",2019-11-26,multimedia,Interactive Feature,,"['Books and Literature', 'Gardens and Gardening']"
Hampi: A Forgotten Civilization in a Rocky Land,2019-11-26,multimedia,Interactive Feature,,"['Travel and Vacations', 'Historic Buildings and Sites', 'Mughal Empire', 'Monuments and Memorials (Structures)', 'Rock and Stone']"
"The Who’s Pete Townshend on Rock’s Legacy, and His Own Dark Past",2019-11-25,multimedia,Interactive Feature,,"['Pop and Rock Music', 'Books and Literature']"
Read Mark Sandy’s Closed-Door Deposition,2019-11-26,multimedia,Interactive Feature,,"['Impeachment', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']"
100 Notable Books of 2019,2019-11-25,multimedia,Interactive Feature,,[]
Songs of Survival and Rebellion,2019-11-26,multimedia,Interactive Feature,,"['Books and Literature', 'Pop and Rock Music', 'Music', 'Rap and Hip-Hop', 'Love (Emotion)', 'Fashion and Apparel']"
"Weekly News Quiz for Students: Impeachment Testimony, C.D.C. Warning, Word of the Year",2019-11-26,multimedia,Interactive Feature,,[]
A Season’s New Cookbooks Highlight Global Home Cooking,2019-11-26,multimedia,Interactive Feature,,"['Books and Literature', 'Cooking and Cookbooks']"
Your Thanksgiving Day Quiz,2019-11-27,multimedia,Interactive Feature,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Presidential Election of 2020', 'Impeachment']"
Crossing the Globe to Understand Other People — or to Frame the Perfect Selfie,2019-11-26,multimedia,Interactive Feature,,"['Books and Literature', 'Travel and Vacations']"
"What You Get for $350,000",2019-11-27,multimedia,Slideshow,,['Real Estate and Housing (Residential)']
From Tibet to Queens,2019-11-27,multimedia,Slideshow,,"['Restaurants', 'Cooking and Cookbooks']"
"A Ski Chalet in the Hills of Megève, France",2019-11-27,multimedia,Slideshow,,"['Real Estate and Housing (Residential)', 'ALPINE SKIING']"
"Living In ... Hasbrouck Heights, N.J.",2019-11-27,multimedia,Slideshow,,['Real Estate and Housing (Residential)']
Red Tacos Ride in from the West Coast,2019-11-26,multimedia,Slideshow,,"['Food Trucks and Vendors', 'Mexican Food (Cuisine)', 'Tacos', 'Beef', 'Restaurants']"
"Living In ... The Portola, San Francisco",2019-11-26,multimedia,Slideshow,,"['Real Estate and Housing (Residential)', 'Gardens and Gardening']"
"Marc Jacobs, Bernadette Peters and Prince Albert II of Monaco on the Town",2019-11-27,multimedia,Slideshow,,[]
What You Get for $1 Million in California,2019-11-25,multimedia,Slideshow,,['Real Estate and Housing (Residential)']
Thanksgiving Storms Sweep Across U.S. Causing Travel Delays,2019-11-27,multimedia,Video,,"['Delays (Transportation)', 'Thanksgiving Day']"
‘Knives Out’ | Anatomy of a Scene,2019-11-27,multimedia,Video,,['Movies']
Cave Fire Causes Emergency in Santa Barbara County,2019-11-26,multimedia,Video,,"['Caves and Caverns', 'Evacuations and Evacuees']"
A Canadian-British Dancer Takes Ballet Beyond the Form,2019-11-27,multimedia,Video,,[]
"Amid Death and Debris From Earthquake, Albania Clings to Hope",2019-11-27,article,News,,['Earthquakes']
It’s Not Just Poor White People Driving a Decline in Life Expectancy,2019-11-27,article,News,,"['Deaths (Fatalities)', 'Longevity', 'your-feed-science', 'Research']"
Helping Artists Find Studio Space,2019-11-29,article,News,,['Real Estate and Housing (Residential)']
"Texas, Thanksgiving, Duke: Your Wednesday Briefing",2019-11-27,article,briefing,,[]
"Uphill Skiing: Subtract Crowds and Lift Lines, Add Cardio",2019-11-28,article,News,,"['ALPINE SKIING', 'Skiing', 'Exercise']"
‘Cavale’ Review: Riding in Cars With Girls on the Run,2019-11-28,article,Review,,['Movies']
Looking for Frederick Douglass in Savannah,2019-11-29,article,News,,"['Art', 'Blacks', 'Black People', 'Archives and Records']"
Real Estate Thought It Was Invincible in New York. It Wasn’t.,2019-11-29,article,News,,"['Real Estate and Housing (Residential)', 'Politics and Government', 'Real Estate (Commercial)', 'Rent Control and Stabilization', 'Campaign Finance']"
